Combined categories,p_5mM.p_0mM___log2FoldChange
Quorum sensing/sensors/signaling,1.495360034
Quorum sensing/sensors/signaling,1.176614041
Quorum sensing/sensors/signaling,1.038073099
Quorum sensing/sensors/signaling,0.026448824
Quorum sensing/sensors/signaling,-1.393011072
Quorum sensing/sensors/signaling,-1.305267862
Quorum sensing/sensors/signaling,-1.884083958
Quorum sensing/sensors/signaling,-2.832213884
Quorum sensing/sensors/signaling,-1.179278
Quorum sensing/sensors/signaling,-1.192297122
Quorum sensing/sensors/signaling,-2.17446
Quorum sensing/sensors/signaling,-1.01416
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.81821958
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,4.621983
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,2.851983958
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,6.068922
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,2.981044565
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,5.850780869
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,3.716111721
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.820277173
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.360157999
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-0.250941266
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.926963766
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.055561641
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.427354949
Quorum sensing/sensors/signaling,-1.417710995
Quorum sensing/sensors/signaling,-1.613704462
Cell division/self-lysis/cell shape,1.241902303
Cell division/self-lysis/cell shape,1.600993997
Cell division/self-lysis/cell shape,1.64654566
Cell division/self-lysis/cell shape,1.261323778
Amino acid metabolism and transport,-0.405696179
Amino acid metabolism and transport,-0.8695879
"Type II, III, V, VI, Sec secretion systems",1.495509
"Type II, III, V, VI, Sec secretion systems",1.228863
Cell division/self-lysis/cell shape,2.746062
"Resistance (antibiotic, heavy metals)",-1.188155457
